Symbol,Series,Date,Prev Close,Open,High,Low,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,1/25/2017,2318.35,2322.6,2360,2318.05,2357,2353,2342.18,2055824,4815099961,97383,1547526,75.28
TCS,EQ,1/27/2017,2353,2345.05,2378.75,2345.05,2359,2357.8,2364.53,1435829,3395067791,92758,1211620,84.38
TCS,EQ,1/30/2017,2357.8,2341,2351.95,2318.15,2338.85,2332.9,2332.5,1288978,3006538348,69978,1088546,84.45
TCS,EQ,1/31/2017,2332.9,2320,2332.05,2200.05,2232,2229.8,2241.5,2333402,5230322456,110541,1429985,61.28
TCS,EQ,2/1/2017,2229.8,2220,2239.95,2155.55,2164.9,2167.9,2175.8,2432076,5291712359,132666,1376549,56.6
TCS,EQ,2/2/2017,2167.9,2170.05,2219,2153,2204.45,2207.65,2181.08,3004741,6553591202,144956,1934670,64.39
TCS,EQ,2/3/2017,2207.65,2209.7,2243,2191,2238.8,2232.55,2221.59,1076686,2391954121,54554,607431,56.42
TCS,EQ,2/6/2017,2232.55,2258,2258.5,2214.95,2242,2240.75,2234.09,1204455,2690866088,64627,831461,69.03
TCS,EQ,2/7/2017,2240.75,2244,2252.6,2226,2245.9,2244.6,2243.18,907319,2035275818,34002,668176,73.64
TCS,EQ,2/8/2017,2244.6,2244.9,2282.6,2244.05,2281,2270.95,2270.63,1106292,2511976964,58066,783883,70.86
TCS,EQ,2/9/2017,2270.95,2275,2328,2270.2,2317,2317.3,2307.82,2016601,4653944450,112590,1620147,80.34
TCS,EQ,2/10/2017,2317.3,2311,2424.45,2311,2382.9,2397.95,2363.49,2891080,6833046949,145483,2117700,73.25
TCS,EQ,2/13/2017,2397.95,2396,2429,2382.35,2409.1,2414.25,2410.42,1909906,4603667357,104603,1222149,63.99
TCS,EQ,2/14/2017,2414.25,2419.65,2419.65,2398,2398.15,2406.25,2409.94,1016664,2450097018,76040,735744,72.37
